Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-08-15 21:44:50,2024-08-15 21:44:50,Shop,-30.00,0.0,USD,COMPLETED,50.00
CARD_PAYMENT,Current,2024-08-15 21:44:50,2024-08-16 21:44:50,Texts,-12.00,0.0,USD,COMPLETED,38.00
CARD_PAYMENT,Current,2024-08-15 21:44:50,2024-08-16 21:44:50,Discord,-25.00,0.0,USD,COMPLETED,13.00
TOPUP,Current,2024-08-17 21:44:50,2024-08-17 21:44:50,Shop Pay Top-Up,80.0,0.0,USD,COMPLETED,93.00
TOPUP,Current,2024-08-27 21:44:50,2024-08-27 21:44:50,Shop Pay Top-Up,50.0,0.0,USD,COMPLETED,143.00
TOPUP,Current,2024-08-30 21:44:50,2024-08-30 21:44:50,Shop Pay Top-Up,50.0,0.0,USD,COMPLETED,193.00
CARD_PAYMENT,Current,2024-08-17 21:44:50,2024-08-17 21:44:50,Online,-20.00,0.0,USD,COMPLETED,173.00
CARD_PAYMENT,Current,2024-08-17 21:44:50,2024-08-17 21:44:50,Groceries,-45.00,0.0,USD,COMPLETED,128.00
TOPUP,Current,2024-08-27 21:44:50,2024-08-27 21:44:50,Shop Pay Top-Up,70.0,0.0,USD,COMPLETED,198.00

CARD_PAYMENT,Current,2024-09-15 21:44:50,2024-09-15 21:44:50,Shop,-13.27,0.0,USD,COMPLETED,19.79
CARD_PAYMENT,Current,2024-09-15 21:44:50,2024-09-16 21:44:50,Texts,-4.59,0.0,USD,COMPLETED,15.2
CARD_PAYMENT,Current,2024-09-15 21:44:50,2024-09-16 21:44:50,Discord,-9.99,0.0,USD,COMPLETED,5.21
CARD_PAYMENT,Current,2024-09-15 21:44:50,2024-09-15 21:44:50,Texts,-4.72,0.0,USD,COMPLETED,0.56
TOPUP,Current,2024-09-17 21:44:50,2024-09-16 21:44:50,Shop Pay Top-Up,20.0,0.0,USD,COMPLETED,20.0
TOPUP,Current,2024-09-27 21:44:50,2024-09-27 21:44:50,Shop Pay Top-Up,50.0,0.0,USD,COMPLETED,70.56
TOPUP,Current,2024-09-27 21:44:50,2024-09-27 21:44:50,Shop Pay Top-Up,50.0,0.0,USD,COMPLETED,120.56
CARD_PAYMENT,Current,2024-09-20 21:44:50,2024-09-20 21:44:50,Texts,-4.72,0.0,USD,COMPLETED,3.17
TOPUP,Current,2024-09-15 21:44:50,2024-09-15 21:44:50,Texts,50.0,0.0,USD,COMPLETED,70.56
CARD_PAYMENT,Current,2024-09-27 21:44:50,2024-09-27 21:44:50,Texts,-4.72,0.0,USD,COMPLETED,1.3
